dataset,class_name,literature_expected_topology,source_citation,mapper_confidence,notes
unsw_nb15,Reconnaissance,fan_out,Jung2004; Staniford2002 (source2 sec.1),high,"Horizontal scanning: one source toward many destination hosts on a narrow port set. Vertical scanning (one pair, many ports) is the competing canonical form; fan_out is chosen because UNSW's Reconnaissance is described as network-wide information gathering, not single-host port sweeping."
unsw_nb15,DoS,fan_in,Mirkovic2004; Peng2007 (source2 sec.2),high,"Many-to-one convergence on a single victim. Note UNSW's Stage-0 measures this class identically to Reconnaissance despite the two having opposite, independently solid literature predictions."
unsw_nb15,Worms,fan_out,Ongun2021Portfiler; Jung2004 (source2 sec.10),high,"One source initiating many short-lived, largely unsuccessful connections to numerous distinct destinations. No literature grounds a chained multi-hop worm-to-worm propagation topology, so the single-source probing form is used."
unsw_nb15,Backdoor,persistent_edge,Silva2013; Gardiner2014 (source2 sec.3); research_plan sec.5.3,low,"The literature's star topology describes a multi-host C2 POPULATION, not a single implant; source2 sec.3 records explicitly that no source isolates the single-host persistent point-to-point pattern this row asserts. Recorded as low-confidence because the expectation is an extrapolation."
bot_iot,DDoS,fan_in,Koroniotis2019BoTIoT (four Kali bot VMs against one victim); Mirkovic2004; Peng2007 (source2 sec.2),high,Source 1 and source 2 converge cleanly.
bot_iot,DoS,persistent_edge,Koroniotis2019BoTIoT (single attacking machine); Cambiaso2013 (source2 sec.2),high,"BoT-IoT's own DoS/DDoS distinction is source cardinality, so single-source flooding is expected point-to-point. Stage-0 measures a LARGER pivot footprint for DoS than DDoS, an unresolved anomaly recorded in the phase-2 proxy-GT table."
bot_iot,Reconnaissance,fan_out,Koroniotis2019BoTIoT (Nmap/Hping3/Xprobe2 over 0-65535); Jung2004; Staniford2002 (source2 sec.1),high,Source 1's tool description and source 2's scanning literature agree.
bot_iot,Theft,persistent_edge,Koroniotis2019BoTIoT (reverse Meterpreter TCP session); Ghafir2018; Nadler2019; Bortolameotti2017 (source2 sec.11),high,"Persistent low-rate connection from victim back to a single attacker; source 1 and source 2 converge. Applies to both merged sub-behaviours (keylogging and exfiltration), which share this topology even though they span two MITRE tactics."
ton_iot,scanning,fan_out,Booij2022TONIoTHeterogeneity (Nessus/Nmap against the target subnet); Jung2004; Staniford2002; Lakhina2005 (source2 sec.1),high,The clearest three-source agreement in the proxy-GT construction.
ton_iot,ddos,fan_in,Booij2022TONIoTHeterogeneity (ufonet against multiple nodes); Mirkovic2004; Peng2007 (source2 sec.2),high,"Source 1 describes multiple simultaneous targets, which is a fan-OUT of victims; the fan_in call follows source 2's canonical per-victim DDoS topology, which is what a per-class subgraph aggregation measures."
ton_iot,dos,persistent_edge,"Booij2022TONIoTHeterogeneity (custom Scapy scripts, single source); Cambiaso2013 (source2 sec.2)",medium,"The dos/ddos boundary is not stated in ToN-IoT's own documentation beyond source cardinality, so this rests on the general single-source-flood expectation."
ton_iot,password,persistent_edge,Booij2022TONIoTHeterogeneity (Hydra/Cewl); Javed2013 (source2 sec.6),medium,"Classic single-source brute force is a persistent, high-rate point-to-point connection; distributed campaigns would be fan_in, but ToN-IoT's documented generation is single-source."
ton_iot,Backdoor,persistent_edge,Booij2022TONIoTHeterogeneity (Metasploit persistence); Gardiner2014; Silva2013 (source2 sec.3),low,"Same extrapolation caveat as UNSW's Backdoor row: the star-topology literature describes C2 populations, not a single implant."
ton_iot,injection,persistent_edge,Booij2022TONIoTHeterogeneity (DVWA / Security Shepherd targets); Sharafaldin2018CICIDS via source2 sec.5,low,"Point-to-point is inferred from the scripted single-attacker-to-single-server generation methodology, which source2 sec.5 states is NOT independently literature-validated."
cicids2018,Bot,fan_in,"Sharafaldin2018CICIDS (Zeus + Ares, centralised C2); Zeidanloo2010; Silva2013 (source2 sec.4)",medium,"Centralised C&C produces a star: check-ins from the compromised population converge on the controller. Would be a many-to-many mesh instead if the C2 were peer-to-peer; Zeus's P2P fork exists, so this is not risk-free."
cicids2018,Infilteration,fan_out,Sharafaldin2018CICIDS (post-compromise Nmap IP sweep and port scan); Smiliotopoulos2024 (source2 sec.7),medium,"The label bundles two stages; the fan_out expectation is driven by the second (internal reconnaissance) stage, which dominates the flow count. The first stage alone would be persistent_edge."
cicids2018,FTP-BruteForce,persistent_edge,"Sharafaldin2018CICIDS (FTP-Patator, single attacker); Javed2013 (source2 sec.6)",high,"Single-source brute force is a persistent, high-rate point-to-point connection."
cicids2018,SSH-Bruteforce,persistent_edge,"Sharafaldin2018CICIDS (SSH-Patator, single attacker); Javed2013 (source2 sec.6)",high,As FTP-BruteForce.
cicids2018,DoS_attacks-Hulk,persistent_edge,"Sharafaldin2018CICIDS (HULK, single-source tool); Cambiaso2013 (source2 sec.2)",medium,"Single-source DoS. Source2 sec.2 predicts high-rate variants should instead show fan-in-adjacent convergence, so the high-rate/low-rate split is a real tension here; the single-attacker generation methodology is given precedence."
cicids2018,DoS_attacks-GoldenEye,persistent_edge,"Sharafaldin2018CICIDS (GoldenEye, single-source tool); Cambiaso2013 (source2 sec.2)",medium,"As DoS_attacks-Hulk, including the same high-rate tension."
cicids2018,DoS_attacks-Slowloris,persistent_edge,"Sharafaldin2018CICIDS; Cambiaso2013 (source2 sec.2, low-rate DoS)",high,"Low-and-slow DoS is explicitly characterised in the literature as sustained point-to-point connections, so this row carries no high-rate tension."
cicids2018,DoS_attacks-SlowHTTPTest,persistent_edge,"Sharafaldin2018CICIDS; Cambiaso2013 (source2 sec.2, low-rate DoS)",high,As DoS_attacks-Slowloris.
cicids2018,DDOS_attack-HOIC,fan_in,Sharafaldin2018CICIDS (HOIC); Mirkovic2004; Peng2007 (source2 sec.2),high,Distributed flooding converging on one victim.
cicids2018,DDOS_attack-LOIC-UDP,fan_in,Sharafaldin2018CICIDS (LOIC UDP mode); Mirkovic2004; Peng2007 (source2 sec.2),high,The canonical volumetric many-to-one case.
cicids2018,DDoS_attacks-LOIC-HTTP,fan_in,Sharafaldin2018CICIDS (LOIC HTTP mode); Mirkovic2004; Peng2007 (source2 sec.2),high,As the other two DDoS classes.
cicids2018,SQL_Injection,persistent_edge,"Sharafaldin2018CICIDS (DVWA, scripted single attacker) via source2 sec.5",low,Inferred from generation methodology; source2 sec.5 states this is not independently literature-validated.
cicids2018,Brute_Force_-XSS,persistent_edge,"Sharafaldin2018CICIDS (DVWA, Selenium-automated) via source2 sec.5",low,As SQL_Injection. A competing XSS fan-out claim traced to Moustafa2021TONIoT could not be confirmed and is not used.
cicids2018,Brute_Force_-Web,persistent_edge,"Sharafaldin2018CICIDS (DVWA login form, single attacker); Javed2013 (source2 sec.6)",low,"Recorded knowing Stage-0 measures a 544-source fan_in for this class, which contradicts it; the literature leg is authored from sources 1 and 2 alone and the disagreement is exactly what the three-way comparison exists to surface."
