dataset,class_name,shap_gsd_feature_group,expected_rank_or_direction,source_citation,mapper_confidence,notes
unsw_nb15,Reconnaissance,DST_PORT_GROUP,1,MITRE T1595 / T1046; Jung2004; Staniford2002; Lakhina2005; Nychis2008 (source2 sec.1); Moustafa2015UNSWNB15,high,MITRE doc grades this class high (cleanest 1:1 mapping of the nine). Source-2 grounding is established_multi_paper. per-flow proxy for the destination-port dispersion signal.
unsw_nb15,Reconnaissance,TCP_FLAGS,1,MITRE T1595 / T1046; Jung2004; Staniford2002; Lakhina2005; Nychis2008 (source2 sec.1); Moustafa2015UNSWNB15,high,"MITRE doc grades this class high (cleanest 1:1 mapping of the nine). Source-2 grounding is established_multi_paper. SYN-heavy / half-open handshakes, no completion."
unsw_nb15,Reconnaissance,IN_PKTS,2,MITRE T1595 / T1046; Jung2004; Staniford2002; Lakhina2005; Nychis2008 (source2 sec.1); Moustafa2015UNSWNB15,high,MITRE doc grades this class high (cleanest 1:1 mapping of the nine). Source-2 grounding is established_multi_paper. minimal per-flow packet count (probes terminated before exchange).
unsw_nb15,Reconnaissance,IN_BYTES,2,MITRE T1595 / T1046; Jung2004; Staniford2002; Lakhina2005; Nychis2008 (source2 sec.1); Moustafa2015UNSWNB15,high,MITRE doc grades this class high (cleanest 1:1 mapping of the nine). Source-2 grounding is established_multi_paper. minimal per-flow byte count.
unsw_nb15,Reconnaissance,SERVER_TCP_FLAGS,2,MITRE T1595 / T1046; Jung2004; Staniford2002; Lakhina2005; Nychis2008 (source2 sec.1); Moustafa2015UNSWNB15,high,MITRE doc grades this class high (cleanest 1:1 mapping of the nine). Source-2 grounding is established_multi_paper. RST / no-response rate from the probed service.
unsw_nb15,Reconnaissance,CLIENT_TCP_FLAGS,2,MITRE T1595 / T1046; Jung2004; Staniford2002; Lakhina2005; Nychis2008 (source2 sec.1); Moustafa2015UNSWNB15,high,MITRE doc grades this class high (cleanest 1:1 mapping of the nine). Source-2 grounding is established_multi_paper. client-side SYN without ACK/FIN completion.
unsw_nb15,Reconnaissance,FLOW_DURATION_MILLISECONDS,3,MITRE T1595 / T1046; Jung2004; Staniford2002; Lakhina2005; Nychis2008 (source2 sec.1); Moustafa2015UNSWNB15,high,MITRE doc grades this class high (cleanest 1:1 mapping of the nine). Source-2 grounding is established_multi_paper. short flow duration.
unsw_nb15,Reconnaissance,NUM_PKTS_UP_TO_128_BYTES,3,MITRE T1595 / T1046; Jung2004; Staniford2002; Lakhina2005; Nychis2008 (source2 sec.1); Moustafa2015UNSWNB15,high,MITRE doc grades this class high (cleanest 1:1 mapping of the nine). Source-2 grounding is established_multi_paper. probes are small packets.
unsw_nb15,DoS,SRC_TO_DST_AVG_THROUGHPUT,1,MITRE T1498 / T1499; Sharafaldin2018CICIDS; Feinstein2003; Najafimehr2023 (source2 sec.2); Moustafa2015UNSWNB15,high,"MITRE doc grades high at tactic level; T1498-vs-T1499 sub-form is not distinguishable from the label, which does not affect the flow-feature expectation used here. elevated packet/byte rate toward the victim."
unsw_nb15,DoS,SRC_TO_DST_IAT_AVG,1,MITRE T1498 / T1499; Sharafaldin2018CICIDS; Feinstein2003; Najafimehr2023 (source2 sec.2); Moustafa2015UNSWNB15,high,"MITRE doc grades high at tactic level; T1498-vs-T1499 sub-form is not distinguishable from the label, which does not affect the flow-feature expectation used here. markedly compressed inter-packet timing."
unsw_nb15,DoS,TCP_FLAGS,1,MITRE T1498 / T1499; Sharafaldin2018CICIDS; Feinstein2003; Najafimehr2023 (source2 sec.2); Moustafa2015UNSWNB15,high,"MITRE doc grades high at tactic level; T1498-vs-T1499 sub-form is not distinguishable from the label, which does not affect the flow-feature expectation used here. SYN without corresponding ACK/FIN completion."
unsw_nb15,DoS,SRC_TO_DST_SECOND_BYTES,2,MITRE T1498 / T1499; Sharafaldin2018CICIDS; Feinstein2003; Najafimehr2023 (source2 sec.2); Moustafa2015UNSWNB15,high,"MITRE doc grades high at tactic level; T1498-vs-T1499 sub-form is not distinguishable from the label, which does not affect the flow-feature expectation used here. byte-rate elevation, direction-explicit."
unsw_nb15,DoS,SRC_TO_DST_IAT_STDDEV,2,MITRE T1498 / T1499; Sharafaldin2018CICIDS; Feinstein2003; Najafimehr2023 (source2 sec.2); Moustafa2015UNSWNB15,high,"MITRE doc grades high at tactic level; T1498-vs-T1499 sub-form is not distinguishable from the label, which does not affect the flow-feature expectation used here. low timing dispersion of an automated flood."
unsw_nb15,DoS,IN_PKTS,2,MITRE T1498 / T1499; Sharafaldin2018CICIDS; Feinstein2003; Najafimehr2023 (source2 sec.2); Moustafa2015UNSWNB15,high,"MITRE doc grades high at tactic level; T1498-vs-T1499 sub-form is not distinguishable from the label, which does not affect the flow-feature expectation used here. elevated packet volume."
unsw_nb15,DoS,FLOW_DURATION_MILLISECONDS,3,MITRE T1498 / T1499; Sharafaldin2018CICIDS; Feinstein2003; Najafimehr2023 (source2 sec.2); Moustafa2015UNSWNB15,high,"MITRE doc grades high at tactic level; T1498-vs-T1499 sub-form is not distinguishable from the label, which does not affect the flow-feature expectation used here. skewed flow-duration distribution vs. benign."
unsw_nb15,Worms,FLOW_DURATION_MILLISECONDS,1,MITRE T1210 (Conficker/WannaCry cited on MITRE's own T1210 page); Ongun2021Portfiler; Jung2004 (source2 sec.10),high,"MITRE doc grades high at tactic level, medium for a single technique ID; the feature-level claim rests on Ongun2021Portfiler, which is established and directly about self-propagating-malware flow features. short connection durations in the probing phase."
unsw_nb15,Worms,DST_TO_SRC_SECOND_BYTES,1,MITRE T1210 (Conficker/WannaCry cited on MITRE's own T1210 page); Ongun2021Portfiler; Jung2004 (source2 sec.10),high,"MITRE doc grades high at tactic level, medium for a single technique ID; the feature-level claim rests on Ongun2021Portfiler, which is established and directly about self-propagating-malware flow features. low/zero reverse-direction byte count (unanswered probe)."
unsw_nb15,Worms,TCP_FLAGS,1,MITRE T1210 (Conficker/WannaCry cited on MITRE's own T1210 page); Ongun2021Portfiler; Jung2004 (source2 sec.10),high,"MITRE doc grades high at tactic level, medium for a single technique ID; the feature-level claim rests on Ongun2021Portfiler, which is established and directly about self-propagating-malware flow features. elevated failed/half-open connection-state counts."
